Starting: test01_verifyFields                                          Passed (30 ms)
Starting: test02_verifyMethods                                         Passed (0 ms)
Starting: test03_verifyInnerClass                                      Passed (0 ms)
Starting: test04a_createHuffman_file0                                  Passed (4 ms)
Starting: test04b_compress_file0                                       Passed (26 ms)
Starting: test04c_decompress_file0                                     Passed (6 ms)
Starting: test05a_createHuffman_file1                                  Passed (2 ms)
Starting: test05b_compress_file1                                       Passed (24 ms)
Starting: test05c_decompress_file1                                     Passed (5 ms)
Starting: test06a_createHuffman_file2                                  Passed (484 ms)
Starting: test06b_compress_file2                                       Passed (1281 ms)
Starting: test06c_decompress_file2                                     Passed (945 ms)
Starting: test07a_createHuffman_file3                                  Passed (16 ms)
Starting: test07b_compress_file3                                       Passed (42 ms)
Starting: test07c_decompress_file3                                     Passed (20 ms)
Starting: test08a_createHuffman_file_WAP                               Passed (254 ms)
Starting: test08b_compress_file_WAP                                    Passed (648 ms)
Starting: test08c_decompress_file_WAP                                  Passed (374 ms)
Starting: test09_multiple_huffmans                                     Passed (6 ms)
